step,tokens,elapsed_s,unix_ts,loss,grad_norm,lr_mult,tok_s
5760,1509949440,37618.2,1786145365.1,3.0252,0.103,1.0000,35669
5780,1515192320,37747.3,1786145494.2,3.0572,0.103,1.0000,40611
5800,1520435200,37876.1,1786145623.0,3.0805,0.105,1.0000,40705
5820,1525678080,38004.9,1786145751.9,3.0047,0.100,1.0000,40700
5840,1530920960,38133.7,1786145880.6,3.0897,0.108,1.0000,40712
5860,1536163840,38262.5,1786146009.4,2.9992,0.101,1.0000,40706
5880,1541406720,38391.2,1786146138.1,3.0224,0.101,1.0000,40733
5900,1546649600,38519.8,1786146266.8,3.0173,0.107,1.0000,40763
5920,1551892480,38648.4,1786146395.4,3.0321,0.103,1.0000,40749
5940,1557135360,38777.1,1786146524.1,2.9587,0.102,1.0000,40750
5960,1562378240,38905.9,1786146652.9,3.0428,0.106,1.0000,40711
5980,1567621120,39034.6,1786146781.6,3.0052,0.103,1.0000,40718
6000,1572864000,39163.3,1786146910.2,3.0327,0.103,1.0000,40765
6020,1578106880,39309.8,1786147056.8,3.0781,0.103,1.0000,35773
6040,1583349760,39438.6,1786147185.6,3.0549,0.104,1.0000,40706
6060,1588592640,39567.4,1786147314.4,2.9707,0.105,1.0000,40699
6080,1593835520,39696.3,1786147443.3,2.9907,0.100,1.0000,40692
6100,1599078400,39825.2,1786147572.1,3.0289,0.101,1.0000,40682
6120,1604321280,39954.0,1786147701.0,2.9829,0.099,1.0000,40694
6140,1609564160,40082.7,1786147829.7,3.0266,0.105,1.0000,40731
6160,1614807040,40211.4,1786147958.4,2.9861,0.105,1.0000,40730
6180,1620049920,40340.2,1786148087.2,3.0175,0.106,1.0000,40722
6200,1625292800,40469.1,1786148216.1,3.0264,0.101,1.0000,40674
6220,1630535680,40597.9,1786148344.9,2.9841,0.096,1.0000,40691
6240,1635778560,40726.8,1786148473.7,2.9882,0.099,1.0000,40697
6260,1641021440,40873.7,1786148620.7,3.0079,0.099,1.0000,35679
6280,1646264320,41002.5,1786148749.5,3.0560,0.103,1.0000,40701
6300,1651507200,41131.4,1786148878.3,3.0328,0.099,1.0000,40690
6320,1656750080,41260.2,1786149007.2,2.9661,0.098,1.0000,40682
6340,1661992960,41389.1,1786149136.1,2.9945,0.106,1.0000,40689
6360,1667235840,41517.9,1786149264.9,3.0645,0.100,1.0000,40694
6380,1672478720,41646.8,1786149393.8,3.0265,0.103,1.0000,40684
6400,1677721600,41775.7,1786149522.7,2.9873,0.102,1.0000,40676
6420,1682964480,41904.5,1786149651.5,2.9901,0.100,1.0000,40693
6440,1688207360,42033.2,1786149780.2,2.9927,0.103,1.0000,40740
6460,1693450240,42162.0,1786149909.0,3.0064,0.098,1.0000,40715
