Corpus: 5,402,429,161 tokens (54,024,291 val) | device: cuda | bf16 + FlashAttention
Model: 349.1M params | GQA 18q/6kv | Muon+AdamW
step   6640 | loss 3.0015 | grad_norm 0.102 | lr x1.000
step   6660 | loss 2.9393 | grad_norm 0.099 | lr x1.000
step   6680 | loss 3.0358 | grad_norm 0.104 | lr x1.000
step   6700 | loss 2.9758 | grad_norm 0.097 | lr x1.000
step   6720 | loss 2.9706 | grad_norm 0.096 | lr x1.000
step   6740 | loss 2.9962 | grad_norm 0.097 | lr x1.000
           val loss 3.3736
step   6760 | loss 3.0222 | grad_norm 0.095 | lr x1.000
step   6780 | loss 2.9954 | grad_norm 0.097 | lr x1.000
step   6800 | loss 3.0543 | grad_norm 0.102 | lr x1.000
step   6820 | loss 3.0133 | grad_norm 0.101 | lr x1.000
step   6840 | loss 2.9997 | grad_norm 0.104 | lr x1.000
step   6860 | loss 2.9940 | grad_norm 0.098 | lr x1.000
step   6880 | loss 2.9380 | grad_norm 0.097 | lr x1.000
step   6900 | loss 2.9834 | grad_norm 0.097 | lr x1.000
step   6920 | loss 2.9953 | grad_norm 0.099 | lr x1.000
step   6940 | loss 3.0315 | grad_norm 0.103 | lr x1.000
step   6960 | loss 3.0074 | grad_norm 0.095 | lr x1.000
step   6980 | loss 2.9374 | grad_norm 0.100 | lr x1.000
step   7000 | loss 2.9781 | grad_norm 0.098 | lr x1.000
           val loss 3.3384
step   7020 | loss 3.0009 | grad_norm 0.102 | lr x1.000
step   7040 | loss 3.0194 | grad_norm 0.097 | lr x1.000
step   7060 | loss 3.0426 | grad_norm 0.095 | lr x1.000
step   7080 | loss 2.9534 | grad_norm 0.097 | lr x1.000
step   7100 | loss 3.0313 | grad_norm 0.098 | lr x1.000
step   7120 | loss 2.9906 | grad_norm 0.104 | lr x1.000
step   7140 | loss 3.0061 | grad_norm 0.095 | lr x1.000
step   7160 | loss 2.9604 | grad_norm 0.091 | lr x1.000
step   7180 | loss 3.0553 | grad_norm 0.100 | lr x1.000
step   7200 | loss 2.9501 | grad_norm 0.099 | lr x1.000
step   7220 | loss 2.9893 | grad_norm 0.099 | lr x1.000
step   7240 | loss 3.0081 | grad_norm 0.098 | lr x1.000
           val loss 3.3059
step   7260 | loss 2.9724 | grad_norm 0.096 | lr x1.000
step   7280 | loss 2.9724 | grad_norm 0.095 | lr x1.000
step   7300 | loss 3.0066 | grad_norm 0.098 | lr x1.000
step   7320 | loss 2.9683 | grad_norm 0.095 | lr x1.000
step   7340 | loss 2.9523 | grad_norm 0.094 | lr x1.000
step   7360 | loss 2.9804 | grad_norm 0.097 | lr x1.000
step   7380 | loss 3.0275 | grad_norm 0.099 | lr x1.000
step   7400 | loss 3.0629 | grad_norm 0.095 | lr x1.000
step   7420 | loss 3.0325 | grad_norm 0.098 | lr x1.000
step   7440 | loss 2.9777 | grad_norm 0.096 | lr x1.000
step   7460 | loss 2.9870 | grad_norm 0.095 | lr x1.000
step   7480 | loss 3.0220 | grad_norm 0.103 | lr x1.000
step   7500 | loss 2.9621 | grad_norm 0.092 | lr x1.000
           val loss 3.2840
step   7520 | loss 2.9681 | grad_norm 0.093 | lr x1.000
step   7540 | loss 3.0142 | grad_norm 0.095 | lr x1.000
step   7560 | loss 2.9123 | grad_norm 0.095 | lr x1.000
step   7580 | loss 2.9550 | grad_norm 0.096 | lr x1.000
step   7600 | loss 2.9484 | grad_norm 0.103 | lr x1.000
step   7620 | loss 3.0645 | grad_norm 0.096 | lr x1.000
step   7640 | loss 2.9586 | grad_norm 0.097 | lr x1.000
step   7660 | loss 3.0383 | grad_norm 0.098 | lr x1.000
step   7680 | loss 2.9507 | grad_norm 0.093 | lr x1.000
step   7700 | loss 2.9801 | grad_norm 0.093 | lr x1.000
step   7720 | loss 2.9445 | grad_norm 0.095 | lr x1.000
step   7740 | loss 2.9736 | grad_norm 0.093 | lr x1.000
           val loss 3.2671
step   7760 | loss 2.9678 | grad_norm 0.092 | lr x1.000
step   7780 | loss 2.9890 | grad_norm 0.096 | lr x1.000
step   7800 | loss 3.0221 | grad_norm 0.095 | lr x1.000
step   7820 | loss 3.0055 | grad_norm 0.094 | lr x1.000
step   7840 | loss 2.9954 | grad_norm 0.092 | lr x1.000
step   7860 | loss 2.9859 | grad_norm 0.095 | lr x1.000
step   7880 | loss 2.9568 | grad_norm 0.097 | lr x1.000
step   7900 | loss 2.9730 | grad_norm 0.094 | lr x1.000
step   7920 | loss 2.8888 | grad_norm 0.094 | lr x1.000
step   7940 | loss 2.9296 | grad_norm 0.094 | lr x1.000
